gender,cursmoke,diabetes,bpmeds,bmicat,agecat,tbin,D,Y,Rate,Lower,Upper,L
1,0,0,0,1,1,0,0,10950,0,,,1825
1,0,0,0,1,2,0,0,7300,0,,,1825
1,0,0,0,1,3,0,0,5475,0,,,1825
1,0,0,0,1,4,0,0,5475,0,,,1825
1,0,0,0,2,1,0,0,191625,0,,,1825
1,0,0,0,2,2,0,1,385409,2.59E-06,3.65E-07,1.84E-05,1825
1,0,0,0,2,3,0,7,333030,2.10E-05,1.00E-05,4.41E-05,1825
1,0,0,0,2,4,0,4,148320,2.70E-05,1.01E-05,7.19E-05,1825
1,0,0,0,3,1,0,0,98550,0,,,1825
1,0,0,0,3,2,0,2,284552,7.03E-06,1.76E-06,2.81E-05,1825
1,0,0,0,3,3,0,5,385403,1.30E-05,5.40E-06,3.12E-05,1825
1,0,0,0,3,4,0,6,171661,3.50E-05,1.57E-05,7.78E-05,1825
1,0,0,0,4,1,0,0,25550,0,,,1825
1,0,0,0,4,2,0,1,103844,9.63E-06,1.36E-06,6.84E-05,1825
1,0,0,0,4,3,0,2,156084,1.28E-05,3.20E-06,5.12E-05,1825
1,0,0,0,4,4,0,6,110458,5.43E-05,2.44E-05,0.000120908,1825
1,0,0,1,2,2,0,0,3650,0,,,1825
1,0,0,1,2,3,0,0,12775,0,,,1825
1,0,0,1,2,4,0,1,10754,9.30E-05,1.31E-05,0.000660133,1825
1,0,0,1,3,2,0,0,3650,0,,,1825
1,0,0,1,3,3,0,1,29953,3.34E-05,4.70E-06,0.000237007,1825
1,0,0,1,3,4,0,0,14600,0,,,1825
1,0,0,1,4,1,0,0,1825,0,,,1825
1,0,0,1,4,2,0,0,7300,0,,,1825
1,0,0,1,4,3,0,0,10950,0,,,1825
1,0,0,1,4,4,0,1,17775,5.63E-05,7.92E-06,0.000399385,1825
1,0,1,0,2,1,0,0,1825,0,,,1825
1,0,1,0,2,2,0,0,3650,0,,,1825
1,0,1,0,2,3,0,1,5237,0.000190949,2.69E-05,0.001355561,1825
1,0,1,0,2,4,0,1,5398,0.000185254,2.61E-05,0.00131513,1825
1,0,1,0,3,2,0,0,1825,0,,,1825
1,0,1,0,3,3,0,1,12456,8.03E-05,1.13E-05,0.000569932,1825
1,0,1,0,3,4,0,0,12775,0,,,1825
1,0,1,0,4,1,0,0,1825,0,,,1825
1,0,1,0,4,2,0,0,3650,0,,,1825
1,0,1,0,4,3,0,1,5782,0.000172951,2.44E-05,0.001227788,1825
1,0,1,0,4,4,0,0,7300,0,,,1825
1,0,1,1,2,3,0,0,1825,0,,,1825
1,0,1,1,3,3,0,0,1825,0,,,1825
1,0,1,1,3,4,0,2,1934,0.001034126,0.000258633,0.00413489,1825
1,0,1,1,4,3,0,0,3650,0,,,1825
1,1,0,0,1,1,0,0,18250,0,,,1825
1,1,0,0,1,2,0,0,16425,0,,,1825
1,1,0,0,1,3,0,1,10293,9.72E-05,1.37E-05,0.000689699,1825
1,1,0,0,1,4,0,0,1825,0,,,1825
1,1,0,0,2,1,0,2,291737,6.86E-06,1.71E-06,2.74E-05,1825
1,1,0,0,2,2,0,4,528539,7.57E-06,2.84E-06,2.02E-05,1825
1,1,0,0,2,3,0,4,183307,2.18E-05,8.19E-06,5.81E-05,1825
1,1,0,0,2,4,0,1,54784,1.83E-05,2.57E-06,0.000129583,1825
1,1,0,0,3,1,0,0,78475,0,,,1825
1,1,0,0,3,2,0,1,187096,5.34E-06,7.53E-07,3.79E-05,1825
1,1,0,0,3,3,0,5,158065,3.16E-05,1.32E-05,7.60E-05,1825
1,1,0,0,3,4,0,1,33034,3.03E-05,4.26E-06,0.000214902,1825
1,1,0,0,4,1,0,0,16425,0,,,1825
1,1,0,0,4,2,0,0,62050,0,,,1825
1,1,0,0,4,3,0,0,38325,0,,,1825
1,1,0,0,4,4,0,0,18250,0,,,1825
1,1,0,1,1,2,0,0,1825,0,,,1825
1,1,0,1,2,1,0,0,1825,0,,,1825
1,1,0,1,2,2,0,0,9125,0,,,1825
1,1,0,1,2,3,0,0,5475,0,,,1825
1,1,0,1,2,4,0,1,526,0.001901141,0.000267801,0.013496333,1825
1,1,0,1,3,2,0,1,2821,0.000354484,4.99E-05,0.002516509,1825
1,1,0,1,3,3,0,0,10950,0,,,1825
1,1,0,1,3,4,0,0,7300,0,,,1825
1,1,0,1,4,2,0,0,1825,0,,,1825
1,1,0,1,4,3,0,0,7300,0,,,1825
1,1,0,1,4,4,0,0,3650,0,,,1825
1,1,1,0,1,2,0,0,1825,0,,,1825
1,1,1,0,1,3,0,0,1825,0,,,1825
1,1,1,0,2,1,0,1,1169,0.000855432,0.000120499,0.006072773,1825
1,1,1,0,2,2,0,0,5475,0,,,1825
1,1,1,0,2,3,0,0,1825,0,,,1825
1,1,1,0,3,2,0,1,3535,0.000282885,3.98E-05,0.002008224,1825
1,1,1,0,3,3,0,0,5475,0,,,1825
1,1,1,0,3,4,0,0,1825,0,,,1825
1,1,1,0,4,2,0,2,909,0.00220022,0.00055027,0.008797444,1825
1,1,1,0,4,3,0,0,1825,0,,,1825
1,1,1,0,4,4,0,0,1825,0,,,1825
1,1,1,1,3,3,0,1,1215,0.000823045,0.000115937,0.005842857,1825
1,1,1,1,4,4,0,1,53,0.018867925,0.002657802,0.133944743,1825
1,0,0,0,1,1,1825,0,10950,0,,,1825
1,0,0,0,1,2,1825,0,7300,0,,,1825
1,0,0,0,1,3,1825,0,5475,0,,,1825
1,0,0,0,1,4,1825,0,5475,0,,,1825
1,0,0,0,2,1,1825,0,191625,0,,,1825
1,0,0,0,2,2,1825,6,380294,1.58E-05,7.09E-06,3.51E-05,1825
1,0,0,0,2,3,1825,6,321376,1.87E-05,8.39E-06,4.16E-05,1825
1,0,0,0,2,4,1825,9,138514,6.50E-05,3.38E-05,0.000124877,1825
1,0,0,0,3,1,1825,0,98550,0,,,1825
1,0,0,0,3,2,1825,4,279880,1.43E-05,5.36E-06,3.81E-05,1825
1,0,0,0,3,3,1825,8,374442,2.14E-05,1.07E-05,4.27E-05,1825
1,0,0,0,3,4,1825,8,159394,5.02E-05,2.51E-05,0.000100361,1825
1,0,0,0,4,1,1825,0,25550,0,,,1825
1,0,0,0,4,2,1825,2,101506,1.97E-05,4.93E-06,7.88E-05,1825
1,0,0,0,4,3,1825,4,151849,2.63E-05,9.89E-06,7.02E-05,1825
1,0,0,0,4,4,1825,6,98577,6.09E-05,2.73E-05,0.000135481,1825
1,0,0,1,2,2,1825,0,3650,0,,,1825
1,0,0,1,2,3,1825,0,12775,0,,,1825
1,0,0,1,2,4,1825,1,7504,0.000133262,1.88E-05,0.000946038,1825
1,0,0,1,3,2,1825,1,3405,0.000293686,4.14E-05,0.002084896,1825
1,0,0,1,3,3,1825,1,29009,3.45E-05,4.86E-06,0.00024472,1825
1,0,0,1,3,4,1825,1,13407,7.46E-05,1.05E-05,0.000529505,1825
1,0,0,1,4,1,1825,0,1825,0,,,1825
1,0,0,1,4,2,1825,0,7300,0,,,1825
1,0,0,1,4,3,1825,0,10950,0,,,1825
1,0,0,1,4,4,1825,1,16191,6.18E-05,8.70E-06,0.000438458,1825
1,0,1,0,2,1,1825,0,1825,0,,,1825
1,0,1,0,2,2,1825,0,3650,0,,,1825
1,0,1,0,2,3,1825,0,3650,0,,,1825
1,0,1,0,2,4,1825,0,3650,0,,,1825
1,0,1,0,3,2,1825,0,1825,0,,,1825
1,0,1,0,3,3,1825,0,10950,0,,,1825
1,0,1,0,3,4,1825,2,9984,0.000200321,5.01E-05,0.000800969,1825
1,0,1,0,4,1,1825,0,1825,0,,,1825
1,0,1,0,4,2,1825,0,3650,0,,,1825
1,0,1,0,4,3,1825,1,4800,0.000208333,2.93E-05,0.001478973,1825
1,0,1,0,4,4,1825,0,7300,0,,,1825
1,0,1,1,2,3,1825,1,872,0.001146789,0.000161541,0.008141137,1825
1,0,1,1,3,3,1825,0,1825,0,,,1825
1,0,1,1,4,3,1825,0,3650,0,,,1825
1,1,0,0,1,1,1825,1,16559,6.04E-05,8.51E-06,0.000428714,1825
1,1,0,0,1,2,1825,1,14796,6.76E-05,9.52E-06,0.000479797,1825
1,1,0,0,1,3,1825,1,8456,0.000118259,1.67E-05,0.000839531,1825
1,1,0,0,1,4,1825,0,1825,0,,,1825
1,1,0,0,2,1,1825,2,289873,6.90E-06,1.73E-06,2.76E-05,1825
1,1,0,0,2,2,1825,8,518535,1.54E-05,7.72E-06,3.09E-05,1825
1,1,0,0,2,3,1825,5,175930,2.84E-05,1.18E-05,6.83E-05,1825
1,1,0,0,2,4,1825,3,52644,5.70E-05,1.84E-05,0.000176691,1825
1,1,0,0,3,1,1825,3,75870,3.95E-05,1.28E-05,0.000122601,1825
1,1,0,0,3,2,1825,4,181465,2.20E-05,8.27E-06,5.87E-05,1825
1,1,0,0,3,3,1825,4,148212,2.70E-05,1.01E-05,7.19E-05,1825
1,1,0,0,3,4,1825,3,30283,9.91E-05,3.20E-05,0.000307159,1825
1,1,0,0,4,1,1825,1,15342,6.52E-05,9.18E-06,0.000462721,1825
1,1,0,0,4,2,1825,3,59666,5.03E-05,1.62E-05,0.000155896,1825
1,1,0,0,4,3,1825,0,38325,0,,,1825
1,1,0,0,4,4,1825,1,17873,5.60E-05,7.88E-06,0.000397195,1825
1,1,0,1,1,2,1825,0,1825,0,,,1825
1,1,0,1,2,1,1825,0,1825,0,,,1825
1,1,0,1,2,2,1825,0,9125,0,,,1825
1,1,0,1,2,3,1825,1,3809,0.000262536,3.70E-05,0.001863763,1825
1,1,0,1,3,2,1825,0,1825,0,,,1825
1,1,0,1,3,3,1825,0,10950,0,,,1825
1,1,0,1,3,4,1825,0,7300,0,,,1825
1,1,0,1,4,2,1825,0,1825,0,,,1825
1,1,0,1,4,3,1825,2,5258,0.000380373,9.51E-05,0.001520897,1825
1,1,0,1,4,4,1825,1,1986,0.000503525,7.09E-05,0.003574558,1825
1,1,1,0,1,2,1825,0,1825,0,,,1825
1,1,1,0,1,3,1825,0,1825,0,,,1825
1,1,1,0,2,2,1825,0,5475,0,,,1825
1,1,1,0,2,3,1825,0,1825,0,,,1825
1,1,1,0,3,2,1825,0,1825,0,,,1825
1,1,1,0,3,3,1825,0,5475,0,,,1825
1,1,1,0,3,4,1825,0,1825,0,,,1825
1,1,1,0,4,3,1825,0,1825,0,,,1825
1,1,1,0,4,4,1825,0,1825,0,,,1825
1,0,0,0,1,1,3650,0,10950,0,,,1825
1,0,0,0,1,2,3650,0,7300,0,,,1825
1,0,0,0,1,3,3650,1,4392,0.000227687,3.21E-05,0.001616364,1825
1,0,0,0,1,4,3650,1,5384,0.000185736,2.62E-05,0.00131855,1825
1,0,0,0,2,1,3650,3,188212,1.59E-05,5.14E-06,4.94E-05,1825
1,0,0,0,2,2,3650,8,369212,2.17E-05,1.08E-05,4.33E-05,1825
1,0,0,0,2,3,3650,16,300746,5.32E-05,3.26E-05,8.68E-05,1825
1,0,0,0,2,4,3650,10,117080,8.54E-05,4.60E-05,0.000158742,1825
1,0,0,0,3,1,3650,0,98550,0,,,1825
1,0,0,0,3,2,3650,1,273655,3.65E-06,5.15E-07,2.59E-05,1825
